nct_id,text_sha256,split,label,source,labeled_at,assisted,method,panel_outcome
NCT00584636,9c8ab85f3ff44d50fa66f2852f297e7c2ed9d2f1e92d1e09598641427371c6ef,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00588822,dec524670fdfad991df98aeace7b91f8e5c0260076d870d00e1c58538976d60a,test,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00592423,ad5565dd9ce79e88b7778d4914ff5db76a72a7e82e7935526fa535360a7b425d,test,efficacy,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00593645,4c4b8a39d642993437f6a8a02173c9457fd1be031355317a7ad7a3bc340240d7,test,safety,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00593957,a59c7fd628cf25f076e2d6dd094fd60c8e4ce7628f5d962c54c3260aea9a07bf,dev,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00606606,e53b2056c0c52dda6b6a63203a4fcc737934b0d29afed5858cc0b4ee3162abbc,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,majority
NCT00616902,9dbf4535d2d93182fc3b9809327a19294359d113d83102eee64e3f8538053ce3,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00622570,01d40e9f953a596287ef7feacdca09b14d31b99dcf92567bcc59327f72aa2009,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00633997,e043cc69a24b82b4adbdf77c8916a0ae6d57eb30b39b35b6fc1d12ccc328ac05,dev,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00634790,a07bec5c53b26e9fcf0b835263e12a06af3dd59bca3ccb6841b47a653da5e1b5,test,other,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00650637,1a09a7499bd9396f07f599743e10bb1e528425836a2cfb6cf5cc09281207382f,test,administrative,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
NCT00651131,c6f847d38efae56b5d0ea45b588e8f666c2810f43483bddf7b57624ab04af419,dev,accrual,ctgov-api-v2 pulled 2026-09-23,2026-09-23T15:16:41+00:00,false,model-panel-v1,unanimous
